phoneme,feature
E,lower
E,mid
E,front
E,unrounded
E:,long
E:,lower
E:,mid
E:,front
E:,unrounded
E~,nasalized
E~,lower
E~,mid
E~,front
E~,unrounded
E~:,long
E~:,nasalized
E~:,lower
E~:,mid
E~:,front
E~:,unrounded
I,lowered
I,high
I,front
I,unrounded
I~,nasalized
I~,lowered
I~,high
I~,front
I~,unrounded
O,lower
O,mid
O,back
O,rounded
O~,nasalized
O~,lower
O~,mid
O~,back
O~,rounded
a,low
a,central
a,unrounded
a:,long
a:,low
a:,central
a:,unrounded
a~,nasalized
a~,low
a~,central
a~,unrounded
a~:,long
a~:,nasalized
a~:,low
a~:,central
a~:,unrounded
i:,long
i:,high
i:,front
i:,unrounded
i~:,long
i~:,nasalized
i~:,high
i~:,front
i~:,unrounded
o:,long
o:,higher
o:,mid
o:,back
o:,rounded
o~:,long
o~:,nasalized
o~:,higher
o~:,mid
o~:,back
o~:,rounded
